,Model,Compound,Train Accuracy,Test Accuracy
,Linear Regression,DAO,0.9469457143773354,0.9314519692210672
,Linear Regression,05-85,0.9564234117109199,0.9270523831612412
,Linear Regression,1-8,0.9447059372947056,0.9377098209606001
,Partial Least Squares (n=2),DAO,0.8974250955597778,0.8908228373229896
,Partial Least Squares (n=2),05-85,0.8985502404127113,0.8930909447520233
,Partial Least Squares (n=2),1-8,0.892369529018288,0.896028340165867
,Partial Least Squares (n=3),DAO,0.9432962034824478,0.9298915106142717
,Partial Least Squares (n=3),05-85,0.9500401306093812,0.9256746065166611
,Partial Least Squares (n=3),1-8,0.9401330572842138,0.9349268847957132
,Random Forest Regression (max_depth = 2),DAO,0.9938813585591082,0.9918043491206467
,Random Forest Regression (max_depth = 2),05-85,0.9939484321654074,0.9920420673060635
,Random Forest Regression (max_depth = 2),1-8,0.9933890796287037,0.993732147629232
,Random Forest Regression (max_depth = 5),DAO,0.9997887061023748,0.9970985142338813
,Random Forest Regression (max_depth = 5),05-85,0.9999527752567239,0.9976715505425876
,Random Forest Regression (max_depth = 5),1-8,0.9999253904067469,0.9996770607131371
,Random Forest Regression (max_depth = 7),DAO,0.9999088930596031,0.9968985592212491
,Random Forest Regression (max_depth = 7),05-85,0.9999926276620438,0.9977020276859782
,Random Forest Regression (max_depth = 7),1-8,0.9999853288264007,0.9997174498390449
,Random Forest Regression (max_depth = 10),DAO,0.9999561198930729,0.9970124144736316
,Random Forest Regression (max_depth = 10),05-85,0.9999989036890474,0.9977765710035583
,Random Forest Regression (max_depth = 10),1-8,0.9999982382251044,0.999698514000193
,SVR RBF Kernel,DAO,0.9598879467781147,0.9596515955329349
,SVR RBF Kernel,05-85,0.9596918303523224,0.9603804708422765
,SVR RBF Kernel,1-8,0.9616479310459571,0.9603229061629446
,Gradient Boost Regressor,DAO,0.9998354145642946,0.9977383325764363
,Gradient Boost Regressor,05-85,0.9999903593105639,0.9978880383625613
,Gradient Boost Regressor,1-8,0.9999823123748479,0.9991532071328885
